balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,path,prob_mode,thr_ge_T2,thr_ge_T3,thr_ge_T4
0.5940968706566543,0.5940968706566543,0.566373463735068,0.8203592814371258,0.4229390681003584,0.4835164835164835,0.6495726495726496,0.5801526717557252,0.6129032258064516,131,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/oof_baseline_plus_hu_geom_rf_ordinal.csv,raw,0.69,0.44,0.36
0.5940968706566543,0.5940968706566543,0.566373463735068,0.8203592814371258,0.4229390681003584,0.4835164835164835,0.6495726495726496,0.5801526717557252,0.6129032258064516,131,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/oof_baseline_plus_hu_geom_rf_ordinal.csv,monotonic_min,0.69,0.44,0.36
0.5794569728556593,0.5794569728556593,0.535329288556234,0.7664670658682635,0.44086021505376344,0.3241758241758242,0.7863247863247863,0.48677248677248675,0.6013071895424835,189,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/oof_baseline_plus_hu_rf_ordinal.csv,raw,0.65,0.45,0.3
0.5794569728556593,0.5794569728556593,0.535329288556234,0.7664670658682635,0.44086021505376344,0.3241758241758242,0.7863247863247863,0.48677248677248675,0.6013071895424835,189,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/oof_baseline_plus_hu_rf_ordinal.csv,monotonic_min,0.65,0.45,0.3
0.5763954190166283,0.5763954190166283,0.5623274865726164,0.6826347305389222,0.5448028673835126,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/oof_baseline_plus_hu_geom_rf_ordinal.csv,raw,0.62,0.44,0.34
0.5763954190166283,0.5763954190166283,0.5623274865726164,0.6826347305389222,0.5448028673835126,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/oof_baseline_plus_hu_geom_rf_ordinal.csv,monotonic_min,0.62,0.44,0.34
0.5724480378720286,0.5724480378720286,0.5366066014285573,0.7065868263473054,0.5197132616487455,0.2857142857142857,0.7777777777777778,0.4945652173913043,0.6046511627906976,184,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/oof_baseline_plus_hu_rf_ordinal.csv,raw,0.62,0.48,0.31
0.5724480378720286,0.5724480378720286,0.5366066014285573,0.7065868263473054,0.5197132616487455,0.2857142857142857,0.7777777777777778,0.4945652173913043,0.6046511627906976,184,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/oof_baseline_plus_hu_rf_ordinal.csv,monotonic_min,0.62,0.48,0.31
0.5703897651937058,0.5703897651937058,0.5234636190984259,0.7005988023952096,0.4551971326164875,0.2967032967032967,0.8290598290598291,0.4470046082949309,0.5808383233532934,217,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/oof_baseline_plus_hu_rf_ordinal.csv,raw,0.62,0.4,0.26
0.5703897651937058,0.5703897651937058,0.5234636190984259,0.7005988023952096,0.4551971326164875,0.2967032967032967,0.8290598290598291,0.4470046082949309,0.5808383233532934,217,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/oof_baseline_plus_hu_rf_ordinal.csv,monotonic_min,0.62,0.4,0.26
0.5691296716504365,0.5691296716504365,0.5550713887388307,0.7065868263473054,0.5125448028673835,0.45054945054945056,0.6068376068376068,0.5298507462686567,0.5657370517928286,134,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/oof_baseline_plus_hu_geom_rf_ordinal.csv,raw,0.64,0.45,0.35
0.5691296716504365,0.5691296716504365,0.5550713887388307,0.7065868263473054,0.5125448028673835,0.45054945054945056,0.6068376068376068,0.5298507462686567,0.5657370517928286,134,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/oof_baseline_plus_hu_geom_rf_ordinal.csv,monotonic_min,0.64,0.45,0.35
